Title,Court Line,Citation,OpinionURL,CourtListenerCaseName,Match
"American Society for Testing and Materials v. UpCodes, Inc.","United States District Court, E.D. Pennsylvania.",--- F.Supp.3d ----,/opinion/769309/association-of-american-medical-colleges-american-medical-association-the/,"Association of American Medical Colleges American Medical Association the American Hospital Association Association of Academic Health Centers California Medical Association California Healthcare Association Healthcare Association of New York State Medical Group Management Association the Regents of the University of California, on Behalf of the University of California, San Diego School of Medicine, Ucla School of Medicine, University of California-Davis School of Medicine, University of California-Irvine College of Medicine and University of California-San Francisco School of Medicine Loma Linda University Healthcare, Inc. Allegheny University of the Health Sciences University of Colorado Trustees of Indiana University the John Hopkins University Regents University of Michigan Montefiore Medical Center Board of Regents of the University of Nebraska Board of Regents University Medical Associates State University of New York Medical College of Wisconsin University Physicians Inc., and University of Maryland Neurosurgery Associates Pa University of Maryland Physical Therapy Associates Pa University of Maryland Diagnostic Imaging Specialists University of Maryland Pathology Associates Pa Universityof Maryland Anesthesia Associates Pa University of Maryland Dermatologies Pa University of Maryland Oncology Associates Pa University of Maryland Family Medicine Associates Pa University of Maryland Psychiatry Associates Pa University of Maryland Emergency Medicine Associates Shock Trauma Associates Pa University of Maryland Radiation Oncology Associates Pa University of Maryland Medicine Pa University of Maryland Neurology Associates Pa University of Maryland Ob/gyn Associates Pa University of Maryland Pediatric Associates Pa University of Maryland Eye Associates Pa University of Kansas Kansas University Anesthesiology Foundation Kansas Family Medical Foundation Kansas University Internal Medicine Foundation Kansas University Neurological Foundation Kansas University Gynecological & Obstetrical Foundation Kansas University Otolaryngology-Head & Neck Surgery Foundation University Pathology Associates Kansas University Childrens Center Foundation Kansas University Psychiatry Foundation Kansas University Clinical Radiology Foundation Kansas University Radiation Therapy Foundation Kansas University Rehabilitation Medicine Association Kansas University Surgery Association Kansas University Ophthalmic Foundation Massachusetts Hospital Associations, Inc. American Medical Group Association American College of Cardiology American Academy of Otolaryngology-Head & Neck Surgery Association of Academic Physiatrists American College of Rheumatology American Society of Clinical Pathologists American College of Surgeons American Academy of Orthopedic Surgeons American Academy Ophtalmology American Association of Neurological Surgeons Congress of Neurological Surgeons American Lung Associationand Its Medical Section the American Thoracic Society American Urological Association American Academy of Dermatology American Society of Anesthesiologists Society of Thoracic Surgeons American Academy of Family Physicians American Psychiatric Association American Society of Plastic and Reconstructive Surgeons American Academy of Pediatrics American College of Osteopathic Surgeons Association of Academic Departmentsof Otolaryngology-Head & Neck Surgery v. United States",63
Wall Data Inc. v. Los Angeles County Sheriff's Dept.,"United States Court of Appeals, Ninth Circuit.",447 F.3d 769,/opinion/4374933/atkins-v-city-of-los-angeles/,Atkins v. City of Los Angeles,63
Larson v. Dorland,"United States District Court, D. Massachusetts.",693 F.Supp.3d 59,/opinion/9403404/larson-v-secretary-of-health-and-human-services/,Larson v. Secretary of Health and Human Services,67
Triad Systems Corp. v. Southeastern Exp. Co.,"United States Court of Appeals, Ninth Circuit.",64 F.3d 1330,/opinion/1343622/southeastern-exp-sys-v-southern-guar-ins-co-of-georgia/,SOUTHEASTERN EXP. SYS. v. Southern Guar. Ins. Co. of Georgia,69
Santos v. Kimmel,"United States District Court, S.D. New York.",--- F.Supp.3d ----,/opinion/1484206/itt-diversified-credit-corp-v-kimmel/,ITT Diversified Credit Corp. v. Kimmel,70
"Assessment Technologies Institute, LLC v. Parkes","United States District Court, D. Kansas.",588 F.Supp.3d 1178,/opinion/6446358/trident-technologies-llc-v-united-states/,"Trident Technologies, LLC v. United States",70
Grant v. Trump,"United States District Court, S.D. New York.",--- F.Supp.3d ----,/opinion/7333898/stone-v-trump/,Stone v. Trump,70
Hughes v. Benjamin,"United States District Court, S.D. New York.",437 F.Supp.3d 382,/opinion/2452993/people-v-hughes/,People v. Hughes,70
Grant v. Trump,"United States District Court, S.D. New York.",563 F.Supp.3d 278,/opinion/7333898/stone-v-trump/,Stone v. Trump,70
Stephens v. Hayes,"United States Court of Appeals, Sixth Circuit.",374 Fed.Appx. 620,/opinion/4568800/state-v-hayes/,State v. Hayes,76
Hollander v. Steinberg,"United States Court of Appeals, Second Circuit.",419 Fed.Appx. 44,/opinion/1957140/steinberg-v-thomas/,Steinberg v. Thomas,77
"Brown v. Netflix, Inc.","United States District Court, S.D. New York.",462 F.Supp.3d 453,/opinion/2291259/chavez-v-netflix-inc/,"Chavez v. Netflix, Inc.",81
TD Bank N.A. v. Hill,"United States Court of Appeals, Third Circuit.",928 F.3d 259,/opinion/8731600/puglisi-v-td-bank-na/,"Puglisi v. TD Bank, N.A.",84
"Otto v. Hearst Communications, Inc.","United States District Court, S.D. New York.",345 F.Supp.3d 412,/opinion/7333002/otto-v-hearst-commcns-inc/,"Otto v. Hearst Commc'ns, Inc.",86
Estate of Smith v. Graham,"United States Court of Appeals, Second Circuit.",799 Fed.Appx. 36,/opinion/7319740/estate-of-graham-v-sothebys-inc/,"Estate of Graham v. Sotheby's, Inc.",86
Atari Games Corp. v. Nintendo of America Inc.,"United States Court of Appeals, Federal Circuit.",975 F.2d 832,/opinion/8447354/okor-v-atari-games-corp/,Okor v. Atari Games Corp.,88
May v. Sony Music Entertainment,"United States District Court, S.D. New York.",399 F.Supp.3d 169,/opinion/7857881/serova-v-sony-music-entertainment/,Serova v. Sony Music Entertainment,93
